STATION_ZONE,STATION_DIV,STATION_CODE,STATION_NAME,amenities1,amenities2,ALL_AMENITIES,TOTAL_AMENITIES
KR,KAWR,KT,KUMTA,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
SE,ADRA,KTD,KANTADIH,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
NC,PRYJ,KTDD,KATAIYA DANDI HALT,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
WC,JBP,KTE,KATNI JN.,"['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Bus Connectivity', 'Bigger Cleaning Staff']","['AC Lounge', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Bus Connectivity', 'Bigger Cleaning Staff', 'AC Lounge', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",11
WC,JBP,KTES,KATNI SOUTH,[],"['Wheelchair Access(10)', 'Sanitary Product']","['Wheelchair Access(10)', 'Sanitary Product']",2
SW,UBL,KTGG,KARATAGI,[],['Wheelchair Access(4)'],['Wheelchair Access(4)'],1
EC,DHN,KTH,KATRASGARH,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
SB,BSP,KTHD,KOTHARI ROAD,[],[],[],0
NR,FZR,KTHU,KATHUA,[],"['AC Lounge', 'Wheelchair Access(10)']","['AC Lounge', 'Wheelchair Access(10)']",2
SR,MDU,KTHY,KALTHURUTHY HALT,[],[],[],0
ER,MLDT,KTJ,KHALTIPUR,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
SR,TPJ,KTM,KUTTALAM,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
SB,BSP,KTMA,KOTMA,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
SB,BSP,KTO,KATORA,[],['Wheelchair Access(9)'],['Wheelchair Access(9)'],1
NF,RNY,KTPR,KATHALPUKHURI,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
EC,DDU,KTQ,KUDRA,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
SB,BSP,KTSH,KOTMI SONAR P.H.,[],"['AC Lounge', 'Wheelchair Access(1)']","['AC Lounge', 'Wheelchair Access(1)']",2
SR,PGT,KTU,KUTTIPPURAM,['Drinking Water'],"['Wheelchair Access(10)', 'Sanitary Product']","['Drinking Water', 'Wheelchair Access(10)', 'Sanitary Product']",3
EO,WAT,KTV,KOTTAVALASA,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
NR,MB,KTW,KOTDWARA,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
NF,LMG,KTX,KATAKHAL JN.,[],['Wheelchair Access(6)'],['Wheelchair Access(6)'],1
SW,UBL,KTY,KOTTURU,[],[],[],0
SR,TVC,KTYM,KOTTAYAM,"['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Bus Connectivity', 'Additional Entries/Exits', 'Bigger Cleaning Staff']","['Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Bus Connectivity', 'Additional Entries/Exits', 'Bigger Cleaning Staff', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",11
SR,TVC,KUC,KARUKKUTTY,[],[],[],0
SE,KGP,KUCE,KUCHAI,[],['Wheelchair Access(8)'],['Wheelchair Access(8)'],1
SW,UBL,KUD,KUDACHI,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
KR,KAWR,KUDA,KUNDAPURA,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
KR,RN,KUDL,KUDAL,"['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Additional Entries/Exits', 'Bigger Cleaning Staff']","['Wheelchair Access(10)', 'Sanitary Product']","['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Additional Entries/Exits', 'Bigger Cleaning Staff', 'Wheelchair Access(10)', 'Sanitary Product']",8
EC,SEE,KUE,KURSELA,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
NF,LMG,KUGT,KUMARGHAT,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
WR,RTM,KUH,KHACHROD,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
NR,DLI,KUN,KARNAL,"['Waiting Room', 'Drinking Water']","['Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Waiting Room', 'Drinking Water', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",6
NR,FZR,KUPR,KHURDPUR,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
EO,KUR,KUR,KHURDA ROAD JN.,"['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Bus Connectivity', 'Additional Entries/Exits', 'Bigger Cleaning Staff']","['AC Lounge', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Bus Connectivity', 'Additional Entries/Exits', 'Bigger Cleaning Staff', 'AC Lounge', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",12
NC,JHS,KURJ,KHAJAURAHO,"['Waiting Room', 'Drinking Water', 'Food Stalls', 'Bigger Cleaning Staff']","['AC Lounge', 'Wheelchair Access(10)', 'Sanitary Product']","['Waiting Room', 'Drinking Water', 'Food Stalls', 'Bigger Cleaning Staff', 'AC Lounge', 'Wheelchair Access(10)', 'Sanitary Product']",7
NW,JP,KUT,KANAUTA,[],[],[],0
NF,TSK,KUTI,KHUMTAI,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
EO,KUR,KUU,KUHURI,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
SR,MDU,KUV,KUNDARA,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
NW,JP,KVGM,KOLVAGRAM,[],[],[],0
CR,SUR,KVK,KAVATHE-MAHANKAL,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
EO,WAT,KVLS,KARAKAVALASA,[],[],[],0
SC,BZA,KVR,KOVVURU,[],"['AC Lounge', 'Wheelchair Access(10)']","['AC Lounge', 'Wheelchair Access(10)']",2
SW,UBL,KVS,KALSUR H,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
SR,TVC,KVU,KADAKAVUR,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
SC,BZA,KVZ,KAVALI,['Drinking Water'],"['Wheelchair Access(10)', 'Sanitary Product']","['Drinking Water', 'Wheelchair Access(10)', 'Sanitary Product']",3
ER,HWH,KWAE,KATWA JN.,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
NF,KIR,KWE,KHURIAL,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
EO,WAT,KWGN,KAWARGAON,[],[],[],0
NF,LMG,KWM,KAMPUR,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
EC,DNR,KWO,KARAUTA,[],['AC Lounge'],['AC Lounge'],1
NW,JP,KWP,KHATIPURA,[],"['AC Lounge', 'Wheelchair Access(3)']","['AC Lounge', 'Wheelchair Access(3)']",2
CR,SUR,KWV,KURDUWADI,"['Waiting Room', 'Drinking Water']","['Wheelchair Access(10)', 'Sanitary Product']","['Waiting Room', 'Drinking Water', 'Wheelchair Access(10)', 'Sanitary Product']",4
NW,JU,KXG,KHARIA KHANGAR,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
NR,FZR,KXH,KAPURTHALA,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
SC,HYB,KXI,KURUMURTHI,[],[],[],0
NF,LMG,KXJ,KARIMGANJ JN.,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
SE,CKP,KXN,KANSBAHAL,[],['AC Lounge'],['AC Lounge'],1
SR,TVC,KXP,KANIYAPURAM,[],['Wheelchair Access(2)'],['Wheelchair Access(2)'],1
SR,SA,KXT,KETTI,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
WC,JBP,KY,KARELI,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
WC,JBP,KYE,KHURAI,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
EC,DDU,KYF,KAJRAT NAWADIH,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
WR,ADI,KYG,KIDIYANAGAR,[],[],[],0
NE,BSB,KYH,KHAIRAH.,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
ER,SDAH,KYI,KALYANI JN,[],['Wheelchair Access(3)'],['Wheelchair Access(3)'],1
SR,TVC,KYJ,KAYANKULAM,"['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Additional Entries/Exits', 'Bigger Cleaning Staff']","['Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Additional Entries/Exits', 'Bigger Cleaning Staff', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",10
SC,BZA,KYM,KADIYAM,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
CR,CSTM,KYN,KALYAN JN.,"['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Additional Entries/Exits', 'Bigger Cleaning Staff']","['Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Additional Entries/Exits', 'Bigger Cleaning Staff', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",10
NF,RNY,KYO,KHANDIKAR,[],[],[],0
NF,LMG,KYQ,KAMAKHYA JN,"['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Bus Connectivity', 'Additional Entries/Exits', 'Bigger Cleaning Staff']","['AC Lounge', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Bus Connectivity', 'Additional Entries/Exits', 'Bigger Cleaning Staff', 'AC Lounge', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",12
NC,PRYJ,KYT,KAILAHAT,[],"['AC Lounge', 'Wheelchair Access(1)']","['AC Lounge', 'Wheelchair Access(1)']",2
NE,BSB,KZA,KHADA,[],['Wheelchair Access(5)'],['Wheelchair Access(5)'],1
SR,MDU,KZB,KURUMBUR,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
SR,PGT,KZE,KANHANGAD,['Drinking Water'],"['Wheelchair Access(10)', 'Sanitary Product']","['Drinking Water', 'Wheelchair Access(10)', 'Sanitary Product']",3
SC,SC,KZJ,KAZIPET JN.,"['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Additional Entries/Exits', 'Bigger Cleaning Staff']","['Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Additional Entries/Exits', 'Bigger Cleaning Staff', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",10
SR,TVC,KZK,KAZHAKUTTAM,[],"['Wheelchair Access(10)', 'Sanitary Product']","['Wheelchair Access(10)', 'Sanitary Product']",2
SR,TVC,KZT,KULITTURAI,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
SE,CKP,KZU,KUNKI B.H.,[],[],[],0
SR,MDU,KZY,KAYALPATTINAM,[],['Wheelchair Access(5)'],['Wheelchair Access(5)'],1
WR,ADI,LAA,LAKHAPAT,[],[],[],0
SE,RNC,LAD,LOHARDAGA BS,[],"['AC Lounge', 'Wheelchair Access(7)']","['AC Lounge', 'Wheelchair Access(7)']",2
SB,R,LAE,LAKHOLI,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
NC,JHS,LAR,LALITPUR JN.,"['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Bus Connectivity', 'Bigger Cleaning Staff']","['AC Lounge', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Bus Connectivity', 'Bigger Cleaning Staff', 'AC Lounge', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",11
WR,BVP,LAT,LATHI,[],['Wheelchair Access(2)'],['Wheelchair Access(2)'],1
NW,JU,LAU,LADNUN,[],"['AC Lounge', 'Wheelchair Access(10)']","['AC Lounge', 'Wheelchair Access(10)']",2
NF,KIR,LAV,LABHA,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
NR,LKO,LBA,LAMBHUA,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
SC,NED,LBG,LIMBGAON,[],['AC Lounge'],['AC Lounge'],1
NF,RNY,LBI,LILABARI,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
WC,KOTA,LBN,LABAN,[],[],[],0
EC,DHN,LBT,LALGARH BIHAR H,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
NE,LJN,LC,LUCKNOW CITY,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
ER,HWH,LCAE,LALBAGH COURT ROAD,[],[],[],0
SW,UBL,LD,LONDA JN.,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
WC,JBP,LDA,LIDORA KHURD,[],[],[],0
NR,FZR,LDH,LUDHIANA JN.,"['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Bus Connectivity', 'Additional Entries/Exits', 'Bigger Cleaning Staff']","['Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Bus Connectivity', 'Additional Entries/Exits', 'Bigger Cleaning Staff', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",11
WR,BVP,LDU,LUNIDHAR,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
NF,TSK,LEDO,LEDO,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
NW,BKN,LGH,LALGARH JN.,['Drinking Water'],"['AC Lounge', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Drinking Water', 'AC Lounge', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",6
ER,SDAH,LGL,LALGOLA,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
NR,LKO,LGO,LALGOPALGANJ,[],['Wheelchair Access(6)'],['Wheelchair Access(6)'],1
NF,LMG,LGT,LANGTING,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
EO,KUR,LGTR,LINGARAJ TEMPLE ROAD,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
NR,UMB,LHA,LEHRA GAGA,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
ER,ASN,LHB,LAHABON,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
NW,BKN,LHLL,LAHLI,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
SW,UBL,LHN,LACHYAN,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
NW,BKN,LHU,LOHARU JN.,['Drinking Water'],"['AC Lounge', 'Wheelchair Access(10)']","['Drinking Water', 'AC Lounge', 'Wheelchair Access(10)']",3
NE,LJN,LIR,LACHMIPUR,[],"['AC Lounge', 'Wheelchair Access(1)']","['AC Lounge', 'Wheelchair Access(1)']",2
NE,LJN,LJN,LUCKNOW JN.,"['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Bus Connectivity', 'Additional Entries/Exits', 'Bigger Cleaning Staff']","['AC Lounge', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Bus Connectivity', 'Additional Entries/Exits', 'Bigger Cleaning Staff', 'AC Lounge', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",12
EO,SBP,LJR,LANJIGARH ROAD,[],['Wheelchair Access(2)'],['Wheelchair Access(2)'],1
NF,LMG,LKA,LANKA,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
SC,BZA,LKDU,LANKALAKODERU HALT,[],[],[],0
WC,KOTA,LKE,LAKHERI,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
WR,BCT,LKKD,LAKKADKOT,[],[],[],0
EO,WAT,LKMR,LAKSHMIPUR ROAD,[],['Wheelchair Access(6)'],['Wheelchair Access(6)'],1
EC,SEE,LKN,LAKHMINIA,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
NR,LKO,LKO,LUCKNOW JN.,"['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Bus Connectivity', 'Additional Entries/Exits', 'Bigger Cleaning Staff']","['AC Lounge', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Bus Connectivity', 'Additional Entries/Exits', 'Bigger Cleaning Staff', 'AC Lounge', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",12
EC,DNR,LKR,LUCKEESARAI JN.,['Drinking Water'],"['Wheelchair Access(10)', 'Sanitary Product']","['Drinking Water', 'Wheelchair Access(10)', 'Sanitary Product']",3
NW,BKN,LKS,LUNKARANSAR,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
SW,UBL,LKT,HULKOTI,[],[],[],0
NE,IZN,LKU,LALKUA JN.,"['Waiting Room', 'Drinking Water', 'Bus Connectivity']","['Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Waiting Room', 'Drinking Water', 'Bus Connectivity', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",7
NR,FZR,LKW,LAKHEWALI,[],[],[],0
SW,UBL,LKY,LAKHMAPUR,[],[],[],0
WR,ADI,LKZ,LAKADIYA,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
SR,TPJ,LLI,LALGUDI,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
NR,LKO,LLJ,LALGANJ,[],['Wheelchair Access(6)'],['Wheelchair Access(6)'],1
EC,SPJ,LLP,LALIT GRAM,[],['Wheelchair Access(4)'],['Wheelchair Access(4)'],1
WR,BVP,LM,LIMBDI,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
NF,LMG,LMG,LUMDING JN.,"['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Bus Connectivity', 'Additional Entries/Exits', 'Bigger Cleaning Staff']","['Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Bus Connectivity', 'Additional Entries/Exits', 'Bigger Cleaning Staff', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",11
WR,RTM,LMK,LIMKHEDA,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
NR,LKO,LMN,LACHHMANPUR,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
WR,RTM,LMNR,LAKSHMIBAI NAGAR,[],"['AC Lounge', 'Wheelchair Access(10)']","['AC Lounge', 'Wheelchair Access(10)']",2
WR,BVP,LMO,LILIYA MOTA,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
NE,LJN,LMP,LAKHIMPUR,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
SW,UBL,LMT,ALMATTI,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
NW,JP,LNH,LACHHMANGARH-SIKAR,[],"['AC Lounge', 'Wheelchair Access(10)']","['AC Lounge', 'Wheelchair Access(10)']",2
NR,FZR,LNK,LOHIAN KHAS JN.,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
CR,CSTM,LNL,LONAVALA,"['Waiting Room', 'Drinking Water', 'Food Stalls', 'Bus Connectivity']","['Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Waiting Room', 'Drinking Water', 'Food Stalls', 'Bus Connectivity', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",8
CR,PUNE,LNN,LONAND,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
NR,LKO,LNWT,LUCKNOW WEST (A,[],[],[],0
NC,PRYJ,LOG,LOHGARA,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
SR,SA,LOV,LOVEDALE,[],['Wheelchair Access(4)'],['Wheelchair Access(4)'],1
SC,SC,LPI,LINGAMPALLI,"['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Bus Connectivity', 'Additional Entries/Exits', 'Bigger Cleaning Staff']","['AC Lounge', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Bus Connectivity', 'Additional Entries/Exits', 'Bigger Cleaning Staff', 'AC Lounge', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",12
WR,BVP,LPJ,LALPUR (JAM),[],['Wheelchair Access(4)'],['Wheelchair Access(4)'],1
NE,BSB,LRD,LAR ROAD,[],"['AC Lounge', 'Wheelchair Access(10)']","['AC Lounge', 'Wheelchair Access(10)']",2
EO,WAT,LRI,LIHURI PH,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
NR,MB,LRJ,LAKSAR JN.,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
WC,KOTA,LRU,LALPUR UMRI,[],[],[],0
CR,BSL,LS,LASALGAON,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
NW,AII,LSD,LUSADIYA,[],['AC Lounge'],['AC Lounge'],1
EC,SPJ,LSI,LAHERIA SARAI,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
SC,NED,LSR,LASUR,[],['Wheelchair Access(8)'],['Wheelchair Access(8)'],1
EO,SBP,LSX,LOISINGHA,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
SB,NAG,LTA,LAMTA,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
EC,DHN,LTHR,LATEHER,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
WR,RJT,LTR,LAKHTAR,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
SC,SC,LTRR,LATUR ROAD,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
CR,CSTM,LTT,LOKMANYA TILAK TERMI,"['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Bus Connectivity', 'Additional Entries/Exits', 'Bigger Cleaning Staff']","['AC Lounge', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Bus Connectivity', 'Additional Entries/Exits', 'Bigger Cleaning Staff', 'AC Lounge', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",12
NW,JU,LUNI,LUNI JN.,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
CR,SUR,LUR,LATUR,"['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Bigger Cleaning Staff']","['Wheelchair Access(10)', 'Sanitary Product']","['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Bigger Cleaning Staff', 'Wheelchair Access(10)', 'Sanitary Product']",7
NC,PRYJ,LUSA,LUSA,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
SW,UBL,LWR,ALNAVAR JN.,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
WC,BPL,LWS,LUKWASA,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
NF,TSK,LXA,LAKWA,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
SE,KGP,LXD,LAKSHANNATH ROAD,[],"['AC Lounge', 'Wheelchair Access(1)']","['AC Lounge', 'Wheelchair Access(1)']",2
CR,SUR,MA,MADHA,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
WC,BPL,MABA,MANDI BAMORA,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
SC,SC,MABD,MAHBUBABAD,['Drinking Water'],['Wheelchair Access(10)'],"['Drinking Water', 'Wheelchair Access(10)']",2
NR,LKO,MABM,M AHORWA B DHAM,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
SW,SBC,MAD,MADDUR,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
SC,GNT,MAG,MANGALAGIRI,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
SR,PGT,MAHE,MAHE,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
EC,SPJ,MAI,MEHSI,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
SR,PGT,MAJN,MANGALORE JUNCTION,"['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Additional Entries/Exits', 'Bigger Cleaning Staff']","['AC Lounge', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Additional Entries/Exits', 'Bigger Cleaning Staff', 'AC Lounge', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",11
SR,TVC,MAKM,MARARIKULAM,[],['Wheelchair Access(7)'],['Wheelchair Access(7)'],1
WC,JBP,MAKR,BINA MALKHEDI,[],"['AC Lounge', 'Wheelchair Access(10)']","['AC Lounge', 'Wheelchair Access(10)']",2
WR,ADI,MALB,MALIYA MIYANA JN,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
SC,GTL,MALM,MANTHRALAYAM ROAD,"['Waiting Room', 'Drinking Water', 'Food Stalls', 'Bus Connectivity', 'Bigger Cleaning Staff']","['Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Waiting Room', 'Drinking Water', 'Food Stalls', 'Bus Connectivity', 'Bigger Cleaning Staff', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",9
WR,ADI,MAN,MANINAGAR,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
NF,LMG,MANU,MANU,[],['Wheelchair Access(5)'],['Wheelchair Access(5)'],1
